nces_id	state	school_name	website	normalized_url	probe_method	status_code	redirect_target	error_type	error_message	response_headers_json	checked_at
060010010802	CA	Humboldt County ROP	www.humboldt.k12.ca.us/	https://www.humboldt.k12.ca.us/	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.humboldt.k12.ca.us'. (_ssl.c:1016)		2026-03-19T19:40:08.855372+00:00
060152210634	CA	Altus Schools Audeo	www.audeocharterschool.net/	https://www.audeocharterschool.net/	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)		2026-03-19T19:41:07.706511+00:00
060153411628	CA	Los Angeles Academy of Arts and Enterprise	laaae.org	https://laaae.org	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'laaae.org'. (_ssl.c:1016)		2026-03-19T19:41:11.657324+00:00
060155112318	CA	Urban Discovery Academy Charter	www.urbandiscoveryacademy.com	https://www.urbandiscoveryacademy.com	HEAD			ConnectError			2026-03-19T19:41:11.437806+00:00
060159313860	CA	Clear Passage Educational Center	www.cpecschools.org	https://www.cpecschools.org	HEAD			ConnectError			2026-03-19T19:41:20.259455+00:00
060170610524	CA	Magnolia Science Academy	msal.magnoliapublicschools.org	https://msal.magnoliapublicschools.org	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'msal.magnoliapublicschools.org'. (_ssl.c:1016)		2026-03-19T19:42:13.211270+00:00
060176512723	CA	Rio Valley Charter	www.riovalley.org	https://www.riovalley.org	HEAD			ConnectError	[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1016)		2026-03-19T19:42:51.012001+00:00
060177000041	CA	Alameda High	aus.alamedausd.ca.schoolloop.com	https://aus.alamedausd.ca.schoolloop.com	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'aus.alamedausd.ca.schoolloop.com'. (_ssl.c:1016)		2026-03-19T19:42:51.036343+00:00
060177000045	CA	Encinal Junior/Senior High	ehs.alamedausd.ca.schoolloop.com/	https://ehs.alamedausd.ca.schoolloop.com/	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'ehs.alamedausd.ca.schoolloop.com'. (_ssl.c:1016)		2026-03-19T19:42:51.012758+00:00
060177010547	CA	Alameda Science and Technology Institute	asti-alamedausd-ca.schoolloop.com	https://asti-alamedausd-ca.schoolloop.com	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'asti-alamedausd-ca.schoolloop.com'. (_ssl.c:1016)		2026-03-19T19:42:51.051804+00:00
060178011827	CA	Gold Rush Home Study Charter	www.grcschool.org	https://www.grcschool.org	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.grcschool.org'. (_ssl.c:1016)		2026-03-19T19:42:53.933628+00:00
060178812386	CA	Gompers Preparatory Academy	www.gomperscharter.org	https://www.gomperscharter.org	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)		2026-03-19T19:42:53.723410+00:00
060182513697	CA	Opportunities for Learning - Duarte	www.emsofl.com	https://www.emsofl.com	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)		2026-03-19T19:43:12.898343+00:00
060182912427	CA	Big Picture Educational Academy	www.bphsf.org	https://www.bphsf.org	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.bphsf.org'. (_ssl.c:1016)		2026-03-19T19:43:13.068411+00:00
060187603939	CA	Altus Schools Charter School of San Diego	charterschool-sandiego.net/	https://charterschool-sandiego.net/	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)		2026-03-19T19:43:41.644936+00:00
060189803426	CA	Vaughn Next Century Learning Center	myvaughncharter.com	https://myvaughncharter.com	HEAD			ConnectError	[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1016)		2026-03-19T19:43:59.114389+00:00
060191414083	CA	California School of the Arts - San Gabriel Valley	www.sgv.csarts.net	https://www.sgv.csarts.net	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.sgv.csarts.net'. (_ssl.c:1016)		2026-03-19T19:44:01.048649+00:00
060191608213	CA	Willits Charter	www.willitscharter.net	https://www.willitscharter.net	HEAD			ConnectError			2026-03-19T19:44:00.960265+00:00
060196914072	CA	John Adams Academy - El Dorado Hills	edh.johnadamsacademy.org/	https://edh.johnadamsacademy.org/	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'edh.johnadamsacademy.org'. (_ssl.c:1016)		2026-03-19T19:44:08.457240+00:00
060198614071	CA	John Adams Academy - Lincoln	lincoln.johnadamsacademy.org	https://lincoln.johnadamsacademy.org	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'lincoln.johnadamsacademy.org'. (_ssl.c:1016)		2026-03-19T19:44:25.220715+00:00
060213412564	CA	IvyTech Charter	ivytechcs.org	https://ivytechcs.org	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1016)		2026-03-19T19:45:04.414533+00:00
060249114406	CA	Pathways Academy Charter School - Adult Education	www.pathwaysadulteducation.org	https://www.pathwaysadulteducation.org	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1016)		2026-03-19T19:47:25.856798+00:00
060252914478	CA	We the People High	www.wethepeopleps.org	https://www.wethepeopleps.org	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.wethepeopleps.org'. (_ssl.c:1016)		2026-03-19T19:47:42.792744+00:00
060524007650	CA	Divide High	divide.bomusd.org	https://divide.bomusd.org	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'divide.bomusd.org'. (_ssl.c:1016)		2026-03-19T19:48:03.766901+00:00
060594000537	CA	Bret Harte Union High	bhhs-bhuhsd-ca.schoolloop.com/	https://bhhs-bhuhsd-ca.schoolloop.com/	HEAD			ConnectError	[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'bhhs-bhuhsd-ca.schoolloop.com'. (_ssl.c:1016)		2026-03-19T19:48:06.949213+00:00
