nces_id	state	school_name	website	normalized_url	probe_method	status_code	redirect_target	error_type	error_message	response_headers_json	checked_at
060000210346	CA	California School for the Blind	www.csb-cde.ca.gov/	https://www.csb-cde.ca.gov/	HEAD			ProxyError	403 Forbidden		2026-03-19T19:39:37.267221+00:00
060000710348	CA	California School for the Deaf-Riverside	www.csdr-cde.ca.gov	https://www.csdr-cde.ca.gov	HEAD			ProxyError	403 Forbidden		2026-03-19T19:39:37.267032+00:00
060003202227	CA	Patricia Dreizler Continuation High	pdchs.rbusd.org	https://pdchs.rbusd.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:39:47.787662+00:00
060004308369	CA	Scotts Valley High	www.svhs.scottsvalleyusd.org	https://www.svhs.scottsvalleyusd.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:39:54.776962+00:00
060006210697	CA	East Stanislaus High	eshs.ojusd.org	https://eshs.ojusd.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:39:59.314254+00:00
060008211008	CA	Forty-Niner ROP	www.49errop.com	https://www.49errop.com	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:40:05.507372+00:00
060011210925	CA	Antelope Valley ROP	www.avrop.avhsd.org	https://www.avrop.avhsd.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:40:08.762129+00:00
060012611469	CA	William R. Rouse ROP	www.sierra-coe.k12.ca.us	https://www.sierra-coe.k12.ca.us	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:40:28.875454+00:00
060012711472	CA	Siskiyou County ROP	sisnet.ssku.k12.ca.us	https://sisnet.ssku.k12.ca.us	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:40:32.237084+00:00
060014311465	CA	Santa Cruz County ROP	www.rop.santacruz.k2.ca.us	https://www.rop.santacruz.k2.ca.us	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:40:16.774132+00:00
060142613751	CA	Bonsall High	www.bonsallhs.com	https://www.bonsallhs.com	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:40:57.299175+00:00
060152813030	CA	Insight @ San Diego	ca.insightschools.net	https://ca.insightschools.net	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:41:07.347603+00:00
060161614251	CA	California Virtual Academy at Fresno	www.caliva.org	https://www.caliva.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:41:38.152506+00:00
060169710664	CA	San Jose Conservation Corps Charter	www.sjcccharterschool.org	https://www.sjcccharterschool.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:42:09.541515+00:00
060171612034	CA	California Virtual Academy @ Los Angeles	www.caliva.org	https://www.caliva.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:42:27.933192+00:00
060174011518	CA	South Sutter Charter	www.southsuttercs.org	https://www.southsuttercs.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:42:45.098706+00:00
060174513167	CA	Insight School of California	www.caliva.org	https://www.caliva.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:42:44.760105+00:00
060180211787	CA	California Virtual Academy San Mateo	www.caliva.org	https://www.caliva.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:43:11.331847+00:00
060180510641	CA	California Virtual Academy @ San Diego	www.caliva.org	https://www.caliva.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:43:11.212032+00:00
060181013698	CA	California Virtual Academy at Sutter	www.caliva.org	https://www.caliva.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:43:28.108079+00:00
060181510737	CA	Leadership Public Schools - Hayward	www.leadps.org/hayward.html	https://www.leadps.org/hayward.html	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:43:28.108202+00:00
060188411996	CA	California Virtual Academy at Kings	www.caliva.org	https://www.caliva.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:43:56.645797+00:00
060189211225	CA	Leadership Public Schools: Richmond	www.leadps.org	https://www.leadps.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:43:56.521829+00:00
060193514219	CA	Mojave River Academy - National Trails	www.mojave.net	https://www.mojave.net	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:44:00.924898+00:00
060196412477	CA	iQ Academy California-Los Angeles	iqca.k12start.com	https://iqca.k12start.com	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:44:23.525646+00:00
060196713155	CA	LPS Oakland R & D Campus	www.leadps.org	https://www.leadps.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:44:23.653591+00:00
060197013723	CA	Taylion High Desert Academy/Adelanto	www.taylionhighdesert.com	https://www.taylionhighdesert.com	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:44:23.655272+00:00
060197514165	CA	Clarksville Charter	www.clarksvillecharterschool.org	https://www.clarksvillecharterschool.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:44:24.991683+00:00
060198910387	CA	All Tribes Charter	www.alltribescharter.net	https://www.alltribescharter.net	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:44:24.964648+00:00
060207107649	CA	Chula Vista Learning Community Charter	schools.cvesd.org/schools/cvlcc/	https://schools.cvesd.org/schools/cvlcc/	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:44:55.084653+00:00
060209212248	CA	Alain Leroy Locke College Preparatory Academy	www.ca.greendot.org/locke/	https://www.ca.greendot.org/locke/	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:44:59.968508+00:00
060217113952	CA	Insight @ San Joaquin	ca.insightschools.net/	https://ca.insightschools.net/	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:45:06.639610+00:00
060225511889	CA	Discovery Charter Preparatory #2	discoveryprep.org	https://discoveryprep.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:45:48.907054+00:00
060231611478	CA	California Virtual Academy @ Sonoma	www.caliva.org	https://www.caliva.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:46:15.243230+00:00
060232813918	CA	California Pacific Charter - San Diego	www.cal-pacs.org	https://www.cal-pacs.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:46:32.195136+00:00
060244213830	CA	Highlands Community Charter	www.hccts.org	https://www.hccts.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:47:21.320551+00:00
060245114255	CA	California Virtual Academy at Maricopa	www.caliva.org	https://www.caliva.org	HEAD			ProxyError	503 Service Unavailable		2026-03-19T19:47:21.319435+00:00
