nces_id	state	school_name	website	normalized_url	probe_method	status_code	redirect_target	error_type	error_message	response_headers_json	checked_at
060001112763	CA	Mt. Lassen Charter	fortsage.org	https://fortsage.org	HEAD	302	http://www.fortsage.org/			{"content-length": "147", "content-type": "text/html; charset=UTF-8", "location": "http://www.fortsage.org/", "server": "Microsoft-IIS/10.0"}	2026-03-19T19:39:38.185838+00:00
060001914338	CA	Dublin Unified Transition Program	www.dublin.k12.ca.us	https://www.dublin.k12.ca.us	HEAD	301	https://www.dublinusd.org/			{"location": "https://www.dublinusd.org/", "server": "Apache"}	2026-03-19T19:39:44.627224+00:00
060002009279	CA	Foothill High	www.foothillfalcons.org/	https://www.foothillfalcons.org/	HEAD	301	https://foothill.pleasantonusd.net/			{"cf-ray": "9deef1e16d47bd97-LAX", "location": "https://foothill.pleasantonusd.net/", "server": "cloudflare"}	2026-03-19T19:39:44.392919+00:00
060002014629	CA	The Pleasanton Virtual Academy	pleasantonvirtualacademy.com	https://pleasantonvirtualacademy.com	HEAD	301	https://pva.pleasantonusd.net/			{"cf-ray": "9deef1e16b271e0f-LAX", "location": "https://pva.pleasantonusd.net/", "server": "cloudflare"}	2026-03-19T19:39:44.393680+00:00
060003603755	CA	Natomas High	natomasunified.org	https://natomasunified.org	HEAD	301	https://www.natomasunified.org/			{"cf-ray": "9deef2165c412f56-LAX", "location": "https://www.natomasunified.org/", "server": "cloudflare"}	2026-03-19T19:39:52.796788+00:00
060003611084	CA	Inderkum High	natomasunified.org	https://natomasunified.org	HEAD	301	https://www.natomasunified.org/			{"cf-ray": "9deef21659859d5a-LAX", "location": "https://www.natomasunified.org/", "server": "cloudflare"}	2026-03-19T19:39:52.793186+00:00
060003611087	CA	Westlake Charter	www.westlakecharter.com	https://www.westlakecharter.com	HEAD	301	https://westlakecharter.com/			{"cf-ray": "9deef2165e712efe-LAX", "content-type": "text/html; charset=UTF-8", "location": "https://westlakecharter.com/", "server": "cloudflare"}	2026-03-19T19:39:52.903652+00:00
060003611735	CA	Natomas Pacific Pathways Prep	natomasunified.org	https://natomasunified.org	HEAD	301	https://www.natomasunified.org/			{"cf-ray": "9deef2165fd09091-LAX", "location": "https://www.natomasunified.org/", "server": "cloudflare"}	2026-03-19T19:39:52.812792+00:00
060003613189	CA	Leroy Greene Academy	natomasunified.org	https://natomasunified.org	HEAD	301	https://www.natomasunified.org/			{"cf-ray": "9deef2165ab1b860-LAX", "location": "https://www.natomasunified.org/", "server": "cloudflare"}	2026-03-19T19:39:52.797692+00:00
060005201477	CA	Eureka Senior High	www.eurekacityschools.org/eurhi.html	https://www.eurekacityschools.org/eurhi.html	HEAD	301	https://www.eurekacityschools.org/eurhi			{"cf-ray": "9deef232e883cbac-LAX", "content-type": "text/html; charset=utf-8", "location": "https://www.eurekacityschools.org/eurhi", "server": "cloudflare"}	2026-03-19T19:39:57.410131+00:00
060005201487	CA	Zoe Barnum High	www.eurekacityschools.org/zoe.html	https://www.eurekacityschools.org/zoe.html	HEAD	301	https://www.eurekacityschools.org/zoe			{"cf-ray": "9deef232ea727a2d-LAX", "content-type": "text/html; charset=utf-8", "location": "https://www.eurekacityschools.org/zoe", "server": "cloudflare"}	2026-03-19T19:39:57.559440+00:00
060006002212	CA	Hughson High	hhs.hughsonschools.org	https://hhs.hughsonschools.org	HEAD	307	https://hhs.hughsonschools.org/en-US			{"location": "/en-US", "server": "nginx"}	2026-03-19T19:39:57.560266+00:00
060006004164	CA	Dickens (Billy Joe) High (Continuation)	alt.hughsonschools.org/?showhomepage=true	https://alt.hughsonschools.org/?showhomepage=true	HEAD	307	https://alt.hughsonschools.org/en-US?showhomepage=true			{"location": "/en-US?showhomepage=true", "server": "nginx"}	2026-03-19T19:39:57.733598+00:00
060006012334	CA	Valley Community Day	alt.hughsonschools.org	https://alt.hughsonschools.org	HEAD	307	https://alt.hughsonschools.org/en-US			{"location": "/en-US", "server": "nginx"}	2026-03-19T19:39:57.732543+00:00
060006700732	CA	MARC High	www.caruthers.k12.ca.us/cusd/marc/marc.htm	https://www.caruthers.k12.ca.us/cusd/marc/marc.htm	HEAD	301	https://www.caruthers.k12.ca.us/cusd/marc/marc			{"cf-ray": "9deef255093f2a8b-LAX", "content-type": "text/html; charset=utf-8", "location": "https://www.caruthers.k12.ca.us/cusd/marc/marc", "server": "cloudflare"}	2026-03-19T19:40:02.886282+00:00
060007510813	CA	Kern County ROP	www.kern.org	https://www.kern.org	HEAD	301	https://kern.org/			{"content-type": "text/html; charset=UTF-8", "location": "https://kern.org/", "server": "Apache/2.4.52 (Ubuntu)"}	2026-03-19T19:40:05.879539+00:00
060009710787	CA	Valley ROP	www.valleyrop.net	https://www.valleyrop.net	HEAD	301	https://valleyrop.net/			{"cf-ray": "9deef27bd9fdcb8e-LAX", "content-type": "text/html; charset=UTF-8", "location": "https://valleyrop.net/", "server": "cloudflare"}	2026-03-19T19:40:11.229993+00:00
060010710920	CA	Southern California ROC	www.scroc.com	https://www.scroc.com	HEAD	301	http://www.socalroc.com/			{"content-type": "text/html; charset=iso-8859-1", "location": "http://www.socalroc.com/", "server": "Apache"}	2026-03-19T19:40:09.318141+00:00
060012110996	CA	North Orange County ROP	www.nocrop.org	https://www.nocrop.org	HEAD	301	https://nocrop.org/			{"cf-ray": "9deef2958fddb4c4-LAX", "content-type": "text/html; charset=UTF-8", "location": "https://nocrop.org/", "server": "cloudflare"}	2026-03-19T19:40:13.263101+00:00
060012210997	CA	College and Career Advantage	www.ccadvantage.org/	https://www.ccadvantage.org/	HEAD	302	https://cca.capousd.org/			{"content-length": "147", "content-type": "text/html; charset=UTF-8", "location": "https://cca.capousd.org/", "server": "Microsoft-IIS/10.0"}	2026-03-19T19:40:13.209289+00:00
060012310998	CA	Coastline ROP	www.coastlinerop.org	https://www.coastlinerop.org	HEAD	301	https://coastlinerop.org/			{"content-length": "0", "content-type": "text/html; charset=UTF-8", "location": "https://coastlinerop.org/", "server": "openresty/1.25.3.1"}	2026-03-19T19:40:15.462877+00:00
060013011115	CA	Colton-Redlands-Yucaipa ROP	cryrop.edu/	https://cryrop.edu/	HEAD	301	https://www.cryrop.edu/			{"content-type": "text/html; charset=UTF-8", "location": "https://www.cryrop.edu/", "server": "Apache"}	2026-03-19T19:40:19.239506+00:00
060013311439	CA	Santa Barbara County ROP-South	www.sbceo.org/~ropsouth	https://www.sbceo.org/~ropsouth	HEAD	301	https://www.sbceo.org/			{"cf-ray": "9deef2ae2a300432-LAX", "content-type": "text/html; charset=utf-8", "location": "https://www.sbceo.org/", "server": "cloudflare"}	2026-03-19T19:40:17.195638+00:00
060013711459	CA	Santa Clara County ROP-South	www.sccoe.org	https://www.sccoe.org	HEAD	302	https://www.sccoe.org/Pages/SCCOE Home.aspx			{"content-length": "166", "content-type": "text/html; charset=UTF-8", "location": "https://www.sccoe.org/Pages/SCCOE Home.aspx", "server": "Microsoft-IIS/10.0"}	2026-03-19T19:40:17.560662+00:00
