nces_id	state	school_name	website	normalized_url	probe_method	status_code	redirect_target	error_type	error_message	response_headers_json	checked_at
060000310347	CA	California School for the Deaf-Fremont	www.csdeagles.com	https://www.csdeagles.com	HEAD	403				{"cf-ray": "9deef1b7dfd0265a-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:39:37.728753+00:00
060003206330	CA	Redondo Union High	redondounion.org	https://redondounion.org	HEAD	403				{"cf-ray": "9deef1f8ede14e41-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:39:48.079727+00:00
060003301258	CA	Dos Palos High	www.dpol.net	https://www.dpol.net	HEAD	403				{"cf-ray": "9deef1f8fa1cf7c1-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:39:48.079117+00:00
060003307695	CA	Westside High	www.dpol.net	https://www.dpol.net	HEAD	403				{"cf-ray": "9deef1f8ff1f2ad9-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:39:48.082739+00:00
060004402140	CA	Healdsburg High	hhs-healdsburgusd-ca.schoolloop.com/	https://hhs-healdsburgusd-ca.schoolloop.com/	HEAD	403				{"cf-ray": "9deef224c95b2adc-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:39:55.099079+00:00
060004607183	CA	Gonzales High	www.gonzalesusd.net	https://www.gonzalesusd.net	HEAD	403				{"cf-ray": "9deef224a9aa4896-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:39:55.070751+00:00
060006412356	CA	Harmony Magnet Academy	www.portervilleschools.org	https://www.portervilleschools.org	HEAD	403				{"cf-ray": "9deef240caf9816b-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:39:59.571056+00:00
060006810542	CA	Liberty High	www.gvusd.org/liberty/liberty.htm	https://www.gvusd.org/liberty/liberty.htm	HEAD	403				{"cf-ray": "9deef254d8e4cb9a-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:02.786961+00:00
060006811680	CA	Lincoln Community Day	www.gvusd.org	https://www.gvusd.org	HEAD	403				{"cf-ray": "9deef254db88cb85-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:02.784647+00:00
060006812658	CA	Valley Children's Hospital	www.gvusd.org	https://www.gvusd.org	HEAD	403				{"cf-ray": "9deef254df7b2ef8-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:02.785889+00:00
060006814039	CA	Freedom Home	www.gvusd.org	https://www.gvusd.org	HEAD	403				{"cf-ray": "9deef254dc560928-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:02.786455+00:00
060007610814	CA	Kern High ROC	www.kernhigh.org/roc/	https://www.kernhigh.org/roc/	HEAD	403				{"cf-ray": "9deef2699b77d7cc-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:06.110322+00:00
060009910791	CA	Glenn County ROP	www.glenncoe.org	https://www.glenncoe.org	HEAD	403				{"cf-ray": "9deef27ba8c808d6-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:09.011943+00:00
060011607170	CA	Chawanakee Academy Charter	www.chawanakee.k12.ca.us	https://www.chawanakee.k12.ca.us	HEAD	403				{"cf-ray": "9deef27bbb51f514-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:09.013058+00:00
060011610544	CA	Mountain Oaks High	www.chawanakee.k12.ca.us	https://www.chawanakee.k12.ca.us	HEAD	403				{"cf-ray": "9deef2952928d938-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:13.075988+00:00
060011612212	CA	Minarets High	www.chawanakee.k12.ca.us	https://www.chawanakee.k12.ca.us	HEAD	403				{"cf-ray": "9deef2927dfbf514-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:12.644510+00:00
060011613035	CA	Minarets Charter High	www.chawanakee.k12.ca.us	https://www.chawanakee.k12.ca.us	HEAD	403				{"cf-ray": "9deef2952e3fcba2-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:13.081645+00:00
060015310929	CA	Alhambra High	www.ausd.us	https://www.ausd.us	HEAD	403				{"cf-ray": "9deef3171effc9f5-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:33.857448+00:00
060015310931	CA	San Gabriel High	www.ausd.us	https://www.ausd.us	HEAD	403				{"cf-ray": "9deef3171f464c1d-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:33.859790+00:00
060016007023	CA	Yosemite High	www.yosemiteusd.com	https://www.yosemiteusd.com	HEAD	403				{"cf-ray": "9deef316fe342b98-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:33.852245+00:00
060016010254	CA	Evergreen High	www.yosemiteusd.com	https://www.yosemiteusd.com	HEAD	403				{"cf-ray": "9deef316efc42b9a-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:33.834051+00:00
060016012074	CA	Yosemite Falls Education Center	www.yosemiteusd.com	https://www.yosemiteusd.com	HEAD	403				{"cf-ray": "9deef3230c742b98-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:35.777824+00:00
060142301505	CA	Kaweah High	khs.exeter.k12.ca.us/	https://khs.exeter.k12.ca.us/	HEAD	403				{"cf-ray": "9deef350bfd02f58-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:43.091797+00:00
060142308662	CA	Exeter Community Day	cds.exeter.k12.ca.us/	https://cds.exeter.k12.ca.us/	HEAD	403				{"cf-ray": "9deef350ba84f4ef-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:40:43.089863+00:00
060148412812	CA	PUC Triumph Charter Academy and PUC Triumph Charter High	www.pucschools.org/tca/	https://www.pucschools.org/tca/	HEAD	403				{"cf-ray": "9deef3c55aefffec-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:41:01.748638+00:00
060149410517	CA	Los Angeles Leadership Academy	www.laleadership.org	https://www.laleadership.org	HEAD	403				{"cf-ray": "9deef3c76cdd72d5-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:41:02.285887+00:00
060156914098	CA	WISH Academy High	www.wishcharter.org	https://www.wishcharter.org	HEAD	403				{"cf-ray": "9deef42099a1a351-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:41:16.344711+00:00
060160114270	CA	Mojave River Academy - Gold Canyon	www.mojaveriver.net	https://www.mojaveriver.net	HEAD	403				{"cf-ray": "9deef44339e76049-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:41:21.894640+00:00
060162000002	CA	Artesia High	www.artesiahs.us/	https://www.artesiahs.us/	HEAD	403				{"cf-ray": "9deef4c989333511-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:41:43.451299+00:00
060162000014	CA	Gahr (Richard) High	www.gahrhs.us	https://www.gahrhs.us	HEAD	403				{"cf-ray": "9deef4c82bf6dcc7-LAX", "content-length": "4519", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:41:43.227884+00:00
060162000028	CA	Tracy (Wilbur) High (Continuation)	www.tracyhs.us	https://www.tracyhs.us	HEAD	403				{"cf-ray": "9deef4c82be00fff-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:41:43.227992+00:00
060162813064	CA	ABLE Charter	www.ablecharter.com	https://www.ablecharter.com	HEAD	403				{"cf-ray": "9deef4c819dcf3e5-LAX", "content-length": "4515", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:41:43.227741+00:00
