nces_id	state	school_name	website	normalized_url	probe_method	status_code	redirect_target	error_type	error_message	response_headers_json	checked_at
060000908779	CA	Cuyama Valley High	www.cuyamaunified.org	https://www.cuyamaunified.org	HEAD	200				{"cf-ray": "9deef1b7b82e7be9-LAX", "content-type": "text/html; charset=UTF-8", "server": "cloudflare"}	2026-03-19T19:39:39.330668+00:00
060001302405	CA	Rocklin High	www.rocklinusd.org	https://www.rocklinusd.org	HEAD	200				{"content-length": "92727", "content-type": "text/html", "server": "Microsoft-IIS/10.0"}	2026-03-19T19:39:38.184715+00:00
060001306176	CA	Victory High	www.rocklinusd.org	https://www.rocklinusd.org	HEAD	200				{"content-length": "92727", "content-type": "text/html", "server": "Microsoft-IIS/10.0"}	2026-03-19T19:39:37.954068+00:00
060001311010	CA	Whitney High	www.rocklinusd.org	https://www.rocklinusd.org	HEAD	200				{"content-length": "92727", "content-type": "text/html", "server": "Microsoft-IIS/10.0"}	2026-03-19T19:39:37.954321+00:00
060001314465	CA	Rocklin Alternative Education Center	www.rocklinusd.org	https://www.rocklinusd.org	HEAD	200				{"content-length": "92727", "content-type": "text/html", "server": "Microsoft-IIS/10.0"}	2026-03-19T19:39:37.954191+00:00
060001405093	CA	Sultana High	www.sultanahighschool.com	https://www.sultanahighschool.com	HEAD	200				{"content-length": "205610", "content-type": "text/html;charset=utf-8", "via": "1.1 varnish, 1.1 varnish"}	2026-03-19T19:39:38.185991+00:00
060001409072	CA	Hesperia High	www.scorpioncountry.com	https://www.scorpioncountry.com	HEAD	200				{"content-length": "209691", "content-type": "text/html;charset=utf-8", "via": "1.1 varnish, 1.1 varnish"}	2026-03-19T19:39:41.696131+00:00
060001412417	CA	Oak Hills High	www.oakhillsbulldogs.com	https://www.oakhillsbulldogs.com	HEAD	200				{"content-length": "210952", "content-type": "text/html;charset=utf-8", "via": "1.1 varnish, 1.1 varnish"}	2026-03-19T19:39:41.401958+00:00
060001609085	CA	Hillside High	hhs.upland.k12.ca.us/	https://hhs.upland.k12.ca.us/	HEAD	200				{"cf-ray": "9deef1cd5a644633-LAX", "content-type": "text/html; charset=utf-8", "server": "cloudflare"}	2026-03-19T19:39:42.557241+00:00
060001609086	CA	Upland High	uhs.upland.k12.ca.us/	https://uhs.upland.k12.ca.us/	HEAD	200				{"cf-ray": "9deef1cd5a734633-LAX", "content-type": "text/html; charset=utf-8", "server": "cloudflare"}	2026-03-19T19:39:42.320631+00:00
060001809106	CA	Valley High	www.mvusd.us	https://www.mvusd.us	HEAD	200				{"content-length": "0", "content-type": "text/html; charset=utf-8", "server": "ESF"}	2026-03-19T19:39:41.232324+00:00
060001809107	CA	Hayfork High	www.mvusd.us	https://www.mvusd.us	HEAD	200				{"content-length": "0", "content-type": "text/html; charset=utf-8", "server": "ESF"}	2026-03-19T19:39:41.237355+00:00
060001909273	CA	Dublin High	www.dublinusd.org	https://www.dublinusd.org	HEAD	200				{"content-type": "text/html;charset=utf-8", "server": "Apache"}	2026-03-19T19:39:44.628954+00:00
060001909274	CA	Valley High (Continuation)	www.dublinusd.org	https://www.dublinusd.org	HEAD	200				{"content-type": "text/html;charset=utf-8", "server": "Apache"}	2026-03-19T19:39:44.628740+00:00
