nces_id	state	school_name	website	normalized_url	probe_method	status_code	redirect_target	error_type	error_message	response_headers_json	checked_at
060161214144	CA	Russell Westbrook Why Not? High	www.russellwestbrookwhynoths.org	https://www.russellwestbrookwhynoths.org	HEAD			ReadTimeout			2026-03-19T19:41:41.357191+00:00
060162914107	CA	Sage Oak Charter	www.sageoak.education	https://www.sageoak.education	HEAD			ReadTimeout			2026-03-19T19:42:03.019548+00:00
060173408436	CA	CORE Charter	www.corecharter.org	https://www.corecharter.org	HEAD			ReadTimeout			2026-03-19T19:42:49.541397+00:00
060203912203	CA	Golden Eagle Charter	www.gecs.org	https://www.gecs.org	HEAD			ReadTimeout			2026-03-19T19:44:53.767715+00:00
060215914091	CA	Connecting Waters Charter - East Bay	www.cweastbay.org	https://www.cweastbay.org	HEAD			ReadTimeout			2026-03-19T19:45:26.809769+00:00
060239007219	CA	San Jacinto Valley Academy	sjacademy.org	https://sjacademy.org	HEAD			ReadTimeout			2026-03-19T19:46:58.696252+00:00
060240614327	CA	Connecting Waters Charter School - Central Valley	www.cwcentralvalley.org	https://www.cwcentralvalley.org	HEAD			ReadTimeout			2026-03-19T19:46:59.058732+00:00
060897014399	CA	Online Academy - Sonoma County	www.onlinelearner.org	https://www.onlinelearner.org	HEAD			ReadTimeout			2026-03-19T19:48:46.143987+00:00
061632502069	CA	Valley Alternative High (Continuation)	www.hlpusd.k12.ca.us	https://www.hlpusd.k12.ca.us	HEAD			ReadTimeout			2026-03-19T19:50:38.605248+00:00
061632511282	CA	Valley Community Day	www.hlpusd.k12.ca.us/hs/valley	https://www.hlpusd.k12.ca.us/hs/valley	HEAD			ReadTimeout			2026-03-19T19:50:38.611777+00:00
062271007759	CA	Marlton	marltonschool.lausd.org	https://marltonschool.lausd.org	HEAD			ReadTimeout			2026-03-19T19:52:33.055124+00:00
063207013458	CA	Redlands eAcademy	eacademy.redlandsusd.net/	https://eacademy.redlandsusd.net/	HEAD			ReadTimeout			2026-03-19T19:55:47.425898+00:00
063583006128	CA	Piner High	piner.srcschools.org	https://piner.srcschools.org	HEAD			ReadTimeout			2026-03-19T19:57:20.402434+00:00
063684006245	CA	Apollo High	www.apollo.simivalleyusd.org/	https://www.apollo.simivalleyusd.org/	HEAD			ReadTimeout			2026-03-19T19:57:52.488617+00:00
063684006264	CA	Royal High	www.rhs.simivalleyusd.org/	https://www.rhs.simivalleyusd.org/	HEAD			ReadTimeout			2026-03-19T19:58:14.002087+00:00
063684006268	CA	Simi Valley High	www.svhs.simivalleyusd.org/	https://www.svhs.simivalleyusd.org/	HEAD			ReadTimeout			2026-03-19T19:58:14.001572+00:00
063684009639	CA	Monte Vista	www.montevista.simivalleyusd.org/	https://www.montevista.simivalleyusd.org/	HEAD			ReadTimeout			2026-03-19T19:58:14.002307+00:00
069102509237	CA	Placer County Court Schools	www.placercoe.org	https://www.placercoe.org	HEAD			ReadTimeout			2026-03-19T19:59:43.628025+00:00
069104214475	CA	Pathways Charter Academy	www.sutterpca.org/	https://www.sutterpca.org/	HEAD			ReadTimeout			2026-03-19T20:00:18.885593+00:00
120129008739	FL	TREASURE COAST CLASSICAL ACADEMY	www.treasurecoastclassical.org	https://www.treasurecoastclassical.org	HEAD			ReadTimeout			2026-03-19T20:08:30.294802+00:00
120177001079	FL	PERFORMANCE BASED PREPARATORY ACADEMY	schools.stlucie.k12.fl.us/pbpa/	https://schools.stlucie.k12.fl.us/pbpa/	HEAD			ReadTimeout			2026-03-19T20:12:53.815565+00:00
480143613030	TX	VILLAGE TECH SCHOOLS	www.villagetechschools.org	https://www.villagetechschools.org	HEAD			ReadTimeout			2026-03-19T20:19:20.810555+00:00
481593001161	TX	CRYSTAL CITY H S	crystalcityisd.org	https://crystalcityisd.org	HEAD			ReadTimeout			2026-03-19T20:21:51.268726+00:00
482247007175	TX	BEXAR CO J J A E P	myhisd.net	https://myhisd.net	HEAD			ReadTimeout			2026-03-19T20:24:16.912133+00:00
